Laisser vide,String,true ou false,String ou vide,float,float,String,String,laisser vide,string,true ou false,string,integer
id,name,active,comment,cost_price,sale_price,in_barcode,out_barecode,image,category,to_display,unit,stock
,Brique terre cuite ME 12.5 pal. 144 pc,true,,1.01,,,,,Brique terre cuite,true,pce,
,Brique terre cuite ME 15 pal. 112 pc,true,,1.20,,,,,Brique terre cuite,true,pce,
,Brique terre cuite ME 17.5,true,,1.35,,,,,Brique terre cuite,true,pce,
,Brique terre cuite ME 20,true,,1.59,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE 6,true,,1.25,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE 7.5,true,,1.43,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE 10,true,,1.53,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE 12.5 ,true,,1.68,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE 15,true,,1.99,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE 17.5,true,,2.24,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE REC 7.5,true,,1.71,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE REC 10,true,,1.87,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE REC 12.5,true,,2.02,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE REC 15,true,,2.39,,,,,Brique terre cuite,true,pce,
,Brique terre cuite MXE REC 17.5,true,,2.68,,,,,Brique terre cuite,true,pce,
,armat. griprip 8.5/100 cm,true,,3.45,,,,,Briques et linteaux,true,m,
,Brique ciment RAPID 7.5,true,,1.58,,,,,Brique ciment,true,pce,
,Brique ciment RAPID 10,true,,1.67,,,,,Brique ciment,true,pce,
,Brique ciment RAPID 10,true,,16.74,,,,,Brique ciment,true,m2,
,Brique ciment RAPID 12.5,true,,1.70,,,,,Brique ciment,true,pce,
,Brique ciment RAPID 12.5,true,,17.02,,,,,Brique ciment,true,m2,
,Brique ciment RAPID 15,true,,1.79,,,,,Brique ciment,true,pce,
,Brique ciment RAPID 15,true,,17.92,,,,,Brique ciment,true,m2,
,Brique ciment RAPID 17.5,true,,1.97,,,,,Brique ciment,true,pce,
,Brique ciment RAPID 17.5,true,,19.66,,,,,Brique ciment,true,m2,
,Brique ciment RAPID 20,true,,2.83,,,,,Brique ciment,true,pce,
,Brique ciment RAPID 20,true,,28.34,,,,,Brique ciment,true,m2,
,Brique ciment pleine DB 12.5,true,,1.33,,,,,Brique ciment,true,pce,
,Brique ciment pleine DB 15,true,,1.53,,,,,Brique ciment,true,pce,
,Brique ciment pleine DB 17.5,true,,1.86,,,,,Brique ciment,true,pce,
,"Brique coffra ép. 15 cm, 50/25 cm",true,,39.75,,,,,Briques et linteaux,true,m2,
,YTONG P Superthermo P ép. 12.5 cm,true,,39.20,,,,,YTONG,true,m2,
,"YTONG P Superthermo P ép. 17.5 cm, 6.56 pce/m2",true,,41.60,,,,,YTONG,true,m2,
,YTONG P Superthermo P ép. 25 cm,true,,57.60,,,,,YTONG,true,m2,
,YTONG P 12.5x25x62.5 cm,true,,39.20,,,,,YTONG,true,m2,
,YTONG P 15x25x62.5 cm,true,,40.00,,,,,YTONG,true,m2,
,Ytong bloc d'embrasure P 30x25x62.5 cm,true,,91.20,,,,ytong-bloc-embrasure.jpg,YTONG,true,m2,
,Ytong Thermobloc 09 30x25x62.5 cm,true,,80.80,,,,Ytong_Thermobloc.jpg,YTONG,true,m2,
,Ytong tête de dalle PL 10x22x62.5 cm,true,,13.20,,,,ytong-tete-dalle.jpg,YTONG,true,m,
,Ytong bloc chaînage 30x25x62.5 cm,true,,43.20,,,,,YTONG,true,m,
,Ytong renova 10x37.5x62.5cm,true,,34.40,,,,,YTONG,true,m2,
,Ytong armyt 10 50m1/rlx,true,,60.35,,,,,YTONG,true,rlx,
,Ytong armyt 23 50m1/rlx,true,,110.50,,,,,YTONG,true,rlx,
,Ytong équerre d'ancrage,true,,4.25,,,,,YTONG,true,pce,
,Linteau plat YTONG plat 12.5x12.5x100 cm,true,,32.30,,,,,Linteau plat,true,m,
,Linteau plat YTONG plat 15x12.5x100 cm,true,,36.55,,,,,Linteau plat,true,m,
,Linteau terre cuite stalthon larg. 7.5,true,,15.85,,,,,Linteau terre cuite,true,m,
,Linteau terre cuite stalthon larg. 10,true,,12.48,,,,,Linteau terre cuite,true,m,
,Linteau terre cuite stalthon larg. 12,true,,14.82,,,,,Linteau terre cuite,true,m,
,Linteau terre cuite stalthon larg. 15,true,,18.01,,,,,Linteau terre cuite,true,m,
,Linteau terre cuite stalthon larg. 17.5,true,,20.48,,,,,Linteau terre cuite,true,m,
,Linteau ciment larg. 10,true,,15.86,,,,,Linteau ciment,true,m,
,Linteau ciment larg. 12,true,,18.53,,,,,Linteau ciment,true,m,
,Linteau ciment larg. 15,true,,23.85,,,,,Linteau ciment,true,m,
,Linteau ciment larg. 17.5,true,,27.30,,,,,Linteau ciment,true,m,
,Tuyau PVC Ø 100 cm,true,,3.14,,,,,Tuyau PVC,true,m,
,Tuyau PVC Ø 125 cm,true,,3.60,,,,,Tuyau PVC,true,m,
,Tuyau PVC Ø 150 cm,true,,4.54,,,,,Tuyau PVC,true,m,
,Tuyau PVC Ø 200 cm,true,,6.48,,,,,Tuyau PVC,true,m,
,Tuyau PVC Ø 250 cm,true,,11.42,,,,,Tuyau PVC,true,m,
,Tuyau PVC Ø 300 cm,true,,18.54,,,,,Tuyau PVC,true,m,
,Tuyau PVC perforé Ø 100 cm,true,,3.40,,,,,Tuyau PVC perforé,true,m,
,Tuyau PVC perforé Ø 125 cm,true,,3.88,,,,,Tuyau PVC perforé,true,m,
,Tuyau PVC perforé Ø 150 cm,true,,4.92,,,,,Tuyau PVC perforé,true,m,
,Coude PVC ∅ 100mm 15deg,true,,1.28,,,,,Coude PVC ∅ 100mm,true,pce,
,Coude PVC ∅ 100mm 30deg,true,,1.28,,,,,Coude PVC ∅ 100mm,true,pce,
,Coude PVC ∅ 100mm 45deg,true,,1.28,,,,,Coude PVC ∅ 100mm,true,pce,
,Coude PVC ∅ 100mm 87deg,true,,1.28,,,,,Coude PVC ∅ 100mm,true,pce,
,Coude PVC ∅ 125mm 15deg,true,,1.92,,,,,Coude PVC ∅ 125mm,true,pce,
,Coude PVC ∅ 125mm 30deg,true,,1.92,,,,,Coude PVC ∅ 125mm,true,pce,
,Coude PVC ∅ 125mm 45deg,true,,1.92,,,,,Coude PVC ∅ 125mm,true,pce,
,Coude PVC ∅ 125mm 87deg,true,,1.92,,,,,Coude PVC ∅ 125mm,true,pce,
,Coude PVC ∅ 150mm 15deg,true,,2.75,,,,,Coude PVC ∅ 150mm,true,pce,
,Coude PVC ∅ 150mm 30deg,true,,2.75,,,,,Coude PVC ∅ 150mm,true,pce,
,Coude PVC ∅ 150mm 45deg,true,,2.75,,,,,Coude PVC ∅ 150mm,true,pce,
,Coude PVC ∅ 150mm 87deg,true,,2.75,,,,,Coude PVC ∅ 150mm,true,pce,
,Coude PVC ∅ 200mm 15deg,true,,5.92,,,,,Coude PVC ∅ 200mm,true,pce,
,Coude PVC ∅ 200mm 30deg,true,,5.92,,,,,Coude PVC ∅ 200mm,true,pce,
