Laisser vide,String,true ou false,String ou vide,float,float,String,String,laisser vide,string,true ou false,string,integer
id,name,active,comment,cost_price,sale_price,in_barcode,out_barecode,image,category,to_display,unit,stock
,Gonon bandes de rive 150/8 mm go-pe,true,,0.45,,,,,Gonon,true,m,
,Goroll-t/se bandes de rive 120/8 mm,true,,0.86,,,,,Gonon,true,m,
,"Jackodur KF 300 gaufré GL, 40 mm",true,,12.03,,,,,Isolation,true,m2,
,Unitex-SW/3 ép. 100 mm 200/60 cm,true,,40.85,,,,,SW,true,m2,
,PV pour 4 battues AK-80,true,,3.51,,,,,SW,true,m2,
,Unitex-HS/3 ép. 150 mm 200/60 cm,true,,40.35,,,,,HS,true,m2,
,PV pour 4 battues AK-80,true,,3.96,,,,,HS,true,m2,
,Ancre plastique l. 200 mm,true,,0.31,,,,,HS,true,pce,
,Panneau de socle en XPS jaune 125x60x14 cm,true,,32.20,,,,,Isolation,true,m2,
,"Panneau ISOVER PBM 2 a. papier, 80 mm",true,,11.05,,,,,Isolation,true,m2,
,Panneau ISOVER PBM 035 40 mm,true,,5.53,,,,isover-pbm-035.jpg,Isolation,true,m2,
,Tilca tampon plaque isolation IP 80,true,,0.26,,,,,Isolation,true,pce,
,banderive,true,,0.40,,,,,Isolation,true,m,
,Cermix Cermicol Extra flex blanc sac de 25 kg,true,,31.75,,,,cermix-cermicol-extraflex.gif,Cermix,true,sac,
,Cermix Cermicol Extra flex gris sac de 25 kg,true,,17.00,,,,cermix-cermicol-extraflex.gif,Cermix,true,sac,
,Cermix Cermijoint color gris sac de 5 kg,true,,1.34,,,,cermix-cermijoint.jpg,Cermix,true,sac,
,Cermix Cermifix HP blanc bidon de 3 kg,true,,4.70,,,,cermix-cermifix-hp-25.jpg,Cermix,true,kg,
,"Rail Schlüter alu eloxe de 2.5 m, AE 80, 8mm",true,,1.19,,,,,Colle carrelages,true,m,
,"Rail Schlüter E100, 10mm",true,,12.65,,,,,Colle carrelages,true,m,
,Mapei keraflex gris sac de 25 kg,true,,19.00,,,,,Colle carrelages,true,sac,
,PCI gisogrund 1819 primaire et couche de fond emb. de 5l,true,,12.66,,,,,Colle carrelages,true,litre,
,Masterflex-3000 larg. 20 cm,true,,8.52,,,,masterflex-3000.jpg,Étanchéité,true,m,
,Rivalcoll unités de 2 kg,true,,20.82,,,,,Rivalcoll,true,kg,
,Rivalcoll unités de 6 kg,true,,16.46,,,,,Rivalcoll,true,kg,
,Adesilex PG4 emb. 6 kg,true,,13.42,,,,adesilex-pg4.jpg,Adesilex,true,kg,
,Adesilex PG1 emb. 2 kg,true,,16.64,,,,adesilex-pg1.jpg,Adesilex,true,kg,
,MAPEBAND bande d'étanchéité 150/1,true,,5.90,,,,,Mapeband,true,m,
,MAPEBAND bande d'étanchéité 200/1,true,,7.07,,,,,Mapeband,true,m,
,Ligature 12 cm,true,,3.55,,,,,Ligature,true,pqt,
,Ligature 14 cm,true,,4.75,,,,,Ligature,true,pqt,
,Ligature 16 cm,true,,5.30,,,,,Ligature,true,pqt,
,Paniers de supports H=8 cm,true,,2.36,,,,,Paniers de supports,true,m,
,Paniers de supports H=13 cm,true,,2.59,,,,,Paniers de supports,true,m,
,Paniers de supports H=15 cm,true,,2.59,,,,,Paniers de supports,true,m,
,Paniers de supports H=17 cm,true,,2.91,,,,,Paniers de supports,true,m,
,Paniers de supports H=18 cm,true,,2.85,,,,,Paniers de supports,true,m,
,Paniers de supports H=20 cm,true,,2.64,,,,,Paniers de supports,true,m,
,Paniers de supports H=22 cm,true,,4.20,,,,,Paniers de supports,true,m,
,Paniers de supports H=30 cm,true,,4.28,,,,,Paniers de supports,true,m,
,Paniers de supports H=40 cm,true,,5.72,,,,,Paniers de supports,true,m,
,Acier III Ø 8 (0.222 kg/m),true,,1.00,,,,,Acier III,true,kg,
,Acier III Ø 10 (0.617 kg/m),true,,1.00,,,,,Acier III,true,kg,
,Acier III Ø 12 (0.888 kg/m),true,,1.00,,,,,Acier III,true,kg,
,Acier III Ø 14 (1.210 kg/m),true,,1.00,,,,,Acier III,true,kg,
,Acier III Ø 16 (1.580 kg/m),true,,1.00,,,,,Acier III,true,kg,
,Acier III Ø 18 (2.000 kg/m),true,,1.00,,,,,Acier III,true,kg,
,Acier III Ø 20 (2.470 kg/m),true,,1.00,,,,,Acier III,true,kg,
,Treillis B 335 (5.34 kg/m2),true,,1.19,,,,,Treillis,true,kg,
,Treillis K 131 (2.10 kg/m2),true,,0.96,,,,,Treillis,true,kg,
,Treillis K 188 (3.02 kg/m2),true,,1.17,,,,,Treillis,true,kg,
,Treillis K 335 (5.37 kg/m2),true,,1.13,,,,,Treillis,true,kg,
,FI RIPA 140M,true,,18.11,,,,,FI RIPA,true,m,
,FI RIPA 90N,true,,9.90,,,,,FI RIPA,true,m,
,FI RIPA 130N,true,,9.90,,,,,FI RIPA,true,m,
,FI RIPA 180N,true,,9.90,,,,,FI RIPA,true,m,
,FI RIPA 240S,true,,33.66,,,,,FI RIPA,true,m,
,FI RIPA 140V,true,,22.53,,,,,FI RIPA,true,m,
,FI RIPA 140M,true,,18.11,,,,,FI RIPA,true,m,
,"EBEA 120/15, L=125 cm",true,,39.02,,,,,EBEA,true,m,
,"EBEA 150/15, L=125 cm",true,,39.79,,,,,EBEA,true,m,
,Goujons + gaine,true,,0.00,,,,,Aciers,true,pce,
,Canaux schmidt 20/20,true,,136.00,,,,,Canaux,true,m,
,Canaux schmidt 25/25,true,,152.00,,,,,Canaux,true,m,
,Cape C20/20,true,,330.00,,,,,Cape,true,pce,
,Cape C25/25,true,,377.00,,,,,Cape,true,pce,
,"Pronouvo ép. 5 mm, larg. 120mm",true,,5.27,,,,,Pronouvo,true,m,
,"Pronouvo ép. 5 mm, larg. 150mm",true,,6.63,,,,,Pronouvo,true,m,
,Grille anti-mouche alu Ø 125 mm,true,,14.82,,,,,Grille diverses,true,pce,
,Grille anti-mouche alu Ø 150 mm,true,,22.07,,,,,Grille diverses,true,pce,
,Grille siphoïde 15/15 cm,true,,32.76,,,,,Grille diverses,true,pce,
,"Clous de 70 mm, 2.5kg/pqt",true,,2.64,,,,,Clous,true,kg,
,"Clous de 80 mm, 2.5kg/pqt",true,,2.64,,,,,Clous,true,kg,
,Mousse de montage sika,true,,11.65,,,,,Divers,true,pce,
,"Sabajoint 5x19 mm, L=25cm (25m/rouleau)",true,,0.32,,,,,Divers,true,m,
,"SAM griffes normal, larg. 18 cm",true,,0.49,,,,,SAM griffes normal,true,pce,
,"SAM griffes normal, larg. 20 cm",true,,0.51,,,,,SAM griffes normal,true,pce,
,"SAM griffes normal, larg. 25 cm",true,,0.54,,,,,SAM griffes normal,true,pce,
,"SAM griffes normal, larg. 30 cm",true,,0.66,,,,,SAM griffes normal,true,pce,
,"SAM griffes normal, larg. 35 cm",true,,0.70,,,,,SAM griffes normal,true,pce,
,"SAM griffes béton propre, larg. 15 cm",true,,0.68,,,,,SAM griffes béton,true,pce,
,"SAM griffes béton propre, larg. 18 cm",true,,0.70,,,,,SAM griffes béton,true,pce,
,"SAM griffes béton propre, larg. 20 cm",true,,0.73,,,,,SAM griffes béton,true,pce,
,"SAM griffes béton propre, larg. 25 cm",true,,0.80,,,,,SAM griffes béton,true,pce,
,Ferrofix 30mm,true,,0.31,,,,ferrofix-30mm.jpg,Divers,true,m,
,Dinki 30 mm,true,,0.08,,,,,Divers,true,pce,
,Tube distanceur Dridu 18 cm,true,,0.30,,,,,Tube distanceur,true,pce,
,Tube distanceur Dridu 20 cm,true,,0.30,,,,,Tube distanceur,true,pce,
,Tube distanceur Dridu 25 cm,true,,0.35,,,,,Tube distanceur,true,pce,
,Tube distanceur Dridu 30 cm,true,,0.38,,,,,Tube distanceur,true,pce,
,Capote Flupp,true,,0.15,,,,,Divers,true,pce,
,Bouchon de fermeture,true,,0.05,,,,,Divers,true,pce,
,Attache d'arrêt 15 cm,true,,2.00,,,,,Attache d'arrêt,true,pce,
,Attache d'arrêt 18 cm,true,,2.05,,,,,Attache d'arrêt,true,pce,
,Attache d'arrêt 20 cm,true,,2.05,,,,,Attache d'arrêt,true,pce,
,Attache d'arrêt 25 cm,true,,2.10,,,,,Attache d'arrêt,true,pce,
,Attache d'arrêt 30 cm,true,,2.15,,,,,Attache d'arrêt,true,pce,
,"Plateau 50/300mm, long. 4.00m",true,,19.20,,,,,Bois,true,pce,
,"Carrelet 80/120mm, long. 4.00 m",true,,13.00,,,,,Bois,true,pce,
,"Latte à tuile 27/40mm, long. 4.00 m",true,,0.50,,,,latte-tuile.jpg,Bois,true,m,
,"Lambourde 27/60mm, long, 4.00 m",true,,0.70,,,,,Bois,true,m,
,"Planche 27mm, brute ",true,,1.85,,,,,Bois,true,m,
,"Planche 27mm, rabottée",true,,2.10,,,,,Bois,true,m,
,"Panneau de coffrage, 27mm, ",true,,18.00,,,,,Bois,true,m2,
,Baguette traingulaire 15x15mm,true,,0.40,,,,baguette-triangulaire.jpg,Bois,true,m,
,Baguette traingulaire 20x20mm,true,,0.64,,,,baguette-triangulaire.jpg,Bois,true,m,
,V60,true,,3.32,,,,,Divers,true,m2,
,GV3,true,,7.50,,,,,Divers,true,m2,
,Delta MS,true,,3.12,,,,delta-ms.gif,Divers,true,m2,
,Plastique 18kg/rlx = 100 m2,true,,0.55,,,,,Divers,true,m2,
,"Barrapren, emb. 30 kg",true,,2.16,,,,barrapren.jpg,Divers,true,kg,
,"Géotextile larg. 100 cm, long. 100 m",true,,0.70,,,,,Géotextile,true,m2,
,Géotextile larg. 400 cm,true,,0.70,,,,,Géotextile,true,m2,
,Colier galvanisé Ø 100,true,,4.10,,,,,Galvanisé,true,pce,
,Colier galvanisé Ø 125,true,,8.00,,,,,Galvanisé,true,pce,
,silicone,true,,6.00,,,,,Divers,true,pce,
,Spray de marquage,true,,7.84,,,,spray-marquage.jpg,Divers,true,pce,
,scotch,true,,5.00,,,,scotch.jpg,Divers,true,pce,
,Huile de coffrage,true,,2.34,,,,,Divers,true,litre,
