Laisser vide,String,true ou false,String ou vide,float,float,String,String,laisser vide,string,true ou false,string,integer
,Embranchement PVC ∅ 200mm/150mm,true,,,,,,,Embranchement PVC,true,pce,
,Embranchement PVC ∅ 200mm/200mm,true,,,,,,,Embranchement PVC,true,pce,
,Embranchement PVC ∅ 250mm/250mm,true,,,,,,,Embranchement PVC,true,pce,
,Réduction PVC ∅ 125mm/100mm,true,,,,,,,Réduction PVC,true,pce,
,Réduction PVC ∅ 150mm/100mm,true,,,,,,,Réduction PVC,true,pce,
,Réduction PVC ∅ 150mm/125mm,true,,,,,,,Réduction PVC,true,pce,
,Réduction PVC ∅ 200mm/125mm,true,,,,,,,Réduction PVC,true,pce,
,Réduction PVC ∅ 200mm/150mm,true,,,,,,,Réduction PVC,true,pce,
,Réduction PVC ∅ 250mm/150mm,true,,,,,,,Réduction PVC,true,pce,
,Bouchon PVC ∅ 100mm,true,,,,,,,Bouchon PVC,true,pce,
,Bouchon PVC ∅ 125mm,true,,,,,,,Bouchon PVC,true,pce,
,Bouchon PVC ∅ 150mm,true,,,,,,,Bouchon PVC,true,pce,
,Bouchon PVC ∅ 200mm,true,,,,,,,Bouchon PVC,true,pce,
,Tuyau PE ∅ 55mm,true,,,,,,,Tuyau PE,true,m,
,Tuyau PE ∅ 60/72mm,true,,,,,,,Tuyau PE,true,m,
,Tuyau PE ∅ 80/92mm,true,,,,,,,Tuyau PE,true,m,
,Tuyau PE ∅ 100/112mm,true,,,,,,,Tuyau PE,true,m,
,Tuyau PE ∅ 120/132mm,true,,,,,,,Tuyau PE,true,m,
,Coude PE ∅ 55mm,true,,,,,,,Coude PE,true,pce,
,Coude PE ∅ 60mm court,true,,,,,,,Coude PE,true,pce,
,Coude PE ∅ 80mm,true,,,,,,,Coude PE,true,pce,
,Coude PE ∅ 100mm,true,,,,,,,Coude PE,true,pce,
,Coude PE ∅ 120mm,true,,,,,,,Coude PE,true,pce,
